text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@FreezeMarie You'd need to wait until the Account Specialists can review your information. They respond in 24-48 hours to your e-mail. ^RM,FALSE,0,FreezeMarie,05-07-2016 15:30,FALSE,7.50348E+17,7.50351E+17,1638894907,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@DebsBM I'm sorry for the frustration this has caused.  I've passed your feedback to our Customer Experience team. Please keep us posted.^LP,FALSE,0,DebsBM,05-07-2016 15:29,FALSE,7.50348E+17,7.50351E+17,180071441,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@djnrrd I completely understand any frustration with the delivery. Was anything inside of the package damaged or missing? ^LI,FALSE,0,djnrrd,05-07-2016 15:28,FALSE,7.50347E+17,7.50351E+17,46646278,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@egtobias We're unable to access your account or information via Twitter. You can reach back out to us here: https://t.co/hApLpMlfHN. ^RM,FALSE,0,egtobias,05-07-2016 15:27,FALSE,7.50347E+17,7.5035E+17,15246664,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@innsidetrack We can reach out to them. Contact us when you have a moment here: https://t.co/JzP7hlA23B. ^RM,FALSE,0,innsidetrack,05-07-2016 15:25,FALSE,7.50346E+17,7.5035E+17,1247429875,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@thinksouthpaw I'm sorry about the packaging! If you haven't yet, you can leave packaging feedback here: https://t.co/0yJwaJBT73. ^ME",FALSE,0,thinksouthpaw,05-07-2016 15:24,FALSE,7.50344E+17,7.5035E+17,4871841106,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@AkshayBharath Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^OG 2/2",FALSE,0,AkshayBharath,05-07-2016 15:23,FALSE,7.50345E+17,7.50349E+17,331466846,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@AkshayBharath Hi, I'm sorry about the delay. May I know if you have reached out to our support team here: https://t.co/rS49hgaADF. ^OG 1/2.",FALSE,0,AkshayBharath,05-07-2016 15:22,FALSE,7.50345E+17,7.50349E+17,331466846,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@wordOOji Enjoy the book, ""I think we have a duty to maintain the light of consciousness to make sure it continues into the future.""  :)^SS",FALSE,1,wordOOji,05-07-2016 15:22,FALSE,7.50346E+17,7.50349E+17,258308855,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@rogeriospbr Sorry to hear about the trouble! Without posting account info, can you tell us more? Are you seeing error messages? ^LI",FALSE,0,rogeriospbr,05-07-2016 15:21,FALSE,7.50333E+17,7.50349E+17,1389668719,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
